,dataset,algorithm,time_ms,instance
0,control,FB,1040.33,instancias/control/2.in
1,control,BT,1.11348,instancias/control/2.in
2,control,BT-F,2.64933,instancias/control/2.in
3,control,BT-O-G,1583.13,instancias/control/2.in
4,control,BT-O-C,196.173,instancias/control/2.in
5,control,DP,0.258314,instancias/control/2.in
6,control,FB,1067.05,instancias/control/6.in
7,control,BT,3.72188,instancias/control/6.in
8,control,BT-F,2.6204,instancias/control/6.in
9,control,BT-O-G,2084.05,instancias/control/6.in
10,control,BT-O-C,237.875,instancias/control/6.in
11,control,DP,0.25326,instancias/control/6.in
12,control,FB,1046.03,instancias/control/7.in
13,control,BT,3.19348,instancias/control/7.in
14,control,BT-F,2.62873,instancias/control/7.in
15,control,BT-O-G,2110.16,instancias/control/7.in
16,control,BT-O-C,236.162,instancias/control/7.in
17,control,DP,0.258546,instancias/control/7.in
18,control,FB,1042.47,instancias/control/3.in
19,control,BT,1.75759,instancias/control/3.in
20,control,BT-F,2.69469,instancias/control/3.in
21,control,BT-O-G,1875.67,instancias/control/3.in
22,control,BT-O-C,245.388,instancias/control/3.in
23,control,DP,0.272668,instancias/control/3.in
24,control,FB,1053.09,instancias/control/8.in
25,control,BT,1.52007,instancias/control/8.in
26,control,BT-F,2.70236,instancias/control/8.in
27,control,BT-O-G,1924.78,instancias/control/8.in
28,control,BT-O-C,235.268,instancias/control/8.in
29,control,DP,0.307671,instancias/control/8.in
30,control,FB,1043.6,instancias/control/9.in
31,control,BT,0.885699,instancias/control/9.in
32,control,BT-F,2.68232,instancias/control/9.in
33,control,BT-O-G,1678.08,instancias/control/9.in
34,control,BT-O-C,208.883,instancias/control/9.in
35,control,DP,0.382324,instancias/control/9.in
36,control,FB,1054.77,instancias/control/4.in
37,control,BT,1.74514,instancias/control/4.in
38,control,BT-F,2.62524,instancias/control/4.in
39,control,BT-O-G,2291.64,instancias/control/4.in
40,control,BT-O-C,275.028,instancias/control/4.in
41,control,DP,0.37693,instancias/control/4.in
42,control,FB,1076.81,instancias/control/0.in
43,control,BT,3.69062,instancias/control/0.in
44,control,BT-F,2.63982,instancias/control/0.in
45,control,BT-O-G,2462.14,instancias/control/0.in
46,control,BT-O-C,313.838,instancias/control/0.in
47,control,DP,0.298909,instancias/control/0.in
48,control,FB,1050.5,instancias/control/1.in
49,control,BT,1.45507,instancias/control/1.in
50,control,BT-F,2.70978,instancias/control/1.in
51,control,BT-O-G,1968.51,instancias/control/1.in
52,control,BT-O-C,233.235,instancias/control/1.in
53,control,DP,0.251303,instancias/control/1.in
54,control,FB,1065.24,instancias/control/5.in
55,control,BT,2.56482,instancias/control/5.in
56,control,BT-F,2.62685,instancias/control/5.in
57,control,BT-O-G,2042.89,instancias/control/5.in
58,control,BT-O-C,244.922,instancias/control/5.in
59,control,DP,0.30801,instancias/control/5.in
60,grupos,BT,1.89498,instancias/grupos/6-grupos_1.in
61,grupos,DP,0.046213,instancias/grupos/6-grupos_1.in
62,grupos,BT,1.80377,instancias/grupos/20-grupos_1.in
63,grupos,DP,0.065415,instancias/grupos/20-grupos_1.in
64,grupos,BT,2.64658,instancias/grupos/1-grupos_6.in
65,grupos,DP,0.034918,instancias/grupos/1-grupos_6.in
