,dataset,algorithm,time_ms,instance
0,control,FB,17.2863,instancias/control/n_19-i_1.in
1,control,BT,0.264864,instancias/control/n_19-i_1.in
2,control,BT-F,0.099821,instancias/control/n_19-i_1.in
3,control,BT-O-G,1.87461,instancias/control/n_19-i_1.in
4,control,BT-O-C,4.32647,instancias/control/n_19-i_1.in
5,control,DP,0.050828,instancias/control/n_19-i_1.in
6,control,FB,0.003239,instancias/control/n_5-i_1.in
7,control,BT,0.003906,instancias/control/n_5-i_1.in
8,control,BT-F,0.001772,instancias/control/n_5-i_1.in
9,control,BT-O-G,0.005757,instancias/control/n_5-i_1.in
10,control,BT-O-C,0.002969,instancias/control/n_5-i_1.in
11,control,DP,0.011468,instancias/control/n_5-i_1.in
12,control,FB,0.008519,instancias/control/n_7-i_1.in
13,control,BT,0.009468,instancias/control/n_7-i_1.in
14,control,BT-F,0.002304,instancias/control/n_7-i_1.in
15,control,BT-O-G,0.016714,instancias/control/n_7-i_1.in
16,control,BT-O-C,0.00573,instancias/control/n_7-i_1.in
17,control,DP,0.016446,instancias/control/n_7-i_1.in
18,control,FB,34.0634,instancias/control/n_20-i_0.in
19,control,BT,0.185387,instancias/control/n_20-i_0.in
20,control,BT-F,0.111718,instancias/control/n_20-i_0.in
21,control,BT-O-G,5.77486,instancias/control/n_20-i_0.in
22,control,BT-O-C,11.4372,instancias/control/n_20-i_0.in
23,control,DP,0.07858,instancias/control/n_20-i_0.in
24,control,FB,0.049743,instancias/control/n_10-i_1.in
25,control,BT,0.028227,instancias/control/n_10-i_1.in
26,control,BT-F,0.004208,instancias/control/n_10-i_1.in
27,control,BT-O-G,0.08677,instancias/control/n_10-i_1.in
28,control,BT-O-C,0.016871,instancias/control/n_10-i_1.in
29,control,DP,0.039796,instancias/control/n_10-i_1.in
30,control,FB,126.232,instancias/control/n_22-i_1.in
31,control,BT,0.950394,instancias/control/n_22-i_1.in
32,control,BT-F,1.00956,instancias/control/n_22-i_1.in
33,control,BT-O-G,192.461,instancias/control/n_22-i_1.in
34,control,BT-O-C,27.7189,instancias/control/n_22-i_1.in
35,control,DP,0.287446,instancias/control/n_22-i_1.in
36,control,FB,0.572941,instancias/control/n_14-i_2.in
37,control,BT,0.088958,instancias/control/n_14-i_2.in
38,control,BT-F,0.022534,instancias/control/n_14-i_2.in
39,control,BT-O-G,0.590029,instancias/control/n_14-i_2.in
40,control,BT-O-C,0.123455,instancias/control/n_14-i_2.in
41,control,DP,0.063029,instancias/control/n_14-i_2.in
42,control,FB,0.018067,instancias/control/n_8-i_0.in
43,control,BT,0.014408,instancias/control/n_8-i_0.in
44,control,BT-F,0.002744,instancias/control/n_8-i_0.in
45,control,BT-O-G,0.044312,instancias/control/n_8-i_0.in
46,control,BT-O-C,0.006806,instancias/control/n_8-i_0.in
47,control,DP,0.013488,instancias/control/n_8-i_0.in
48,control,FB,0.025504,instancias/control/n_9-i_2.in
49,control,BT,0.015232,instancias/control/n_9-i_2.in
50,control,BT-F,0.003119,instancias/control/n_9-i_2.in
51,control,BT-O-G,0.04265,instancias/control/n_9-i_2.in
52,control,BT-O-C,0.019663,instancias/control/n_9-i_2.in
53,control,DP,0.019625,instancias/control/n_9-i_2.in
54,control,FB,1.1279,instancias/control/n_15-i_1.in
55,control,BT,0.133485,instancias/control/n_15-i_1.in
56,control,BT-F,0.0301,instancias/control/n_15-i_1.in
57,control,BT-O-G,2.17202,instancias/control/n_15-i_1.in
58,control,BT-O-C,0.302945,instancias/control/n_15-i_1.in
59,control,DP,0.133575,instancias/control/n_15-i_1.in
60,control,FB,7.90135,instancias/control/n_18-i_0.in
61,control,BT,0.1217,instancias/control/n_18-i_0.in
62,control,BT-F,0.055009,instancias/control/n_18-i_0.in
63,control,BT-O-G,8.59982,instancias/control/n_18-i_0.in
64,control,BT-O-C,2.49827,instancias/control/n_18-i_0.in
65,control,DP,0.038626,instancias/control/n_18-i_0.in
66,control,FB,2002.36,instancias/control/n_26-i_0.in
67,control,BT,14.0948,instancias/control/n_26-i_0.in
68,control,BT-F,6.04357,instancias/control/n_26-i_0.in
69,control,BT-O-G,4546.38,instancias/control/n_26-i_0.in
70,control,BT-O-C,638.953,instancias/control/n_26-i_0.in
71,control,DP,0.427246,instancias/control/n_26-i_0.in
72,control,FB,9.46665,instancias/control/n_18-i_2.in
73,control,BT,0.366293,instancias/control/n_18-i_2.in
74,control,BT-F,0.159642,instancias/control/n_18-i_2.in
75,control,BT-O-G,17.3656,instancias/control/n_18-i_2.in
76,control,BT-O-C,1.78788,instancias/control/n_18-i_2.in
77,control,DP,0.178975,instancias/control/n_18-i_2.in
78,control,FB,64.0378,instancias/control/n_21-i_2.in
79,control,BT,1.36642,instancias/control/n_21-i_2.in
80,control,BT-F,0.491695,instancias/control/n_21-i_2.in
81,control,BT-O-G,137.664,instancias/control/n_21-i_2.in
82,control,BT-O-C,17.4881,instancias/control/n_21-i_2.in
83,control,DP,0.23931,instancias/control/n_21-i_2.in
84,control,FB,15757.7,instancias/control/n_29-i_1.in
85,control,BT,14.1937,instancias/control/n_29-i_1.in
86,control,BT-F,25.2153,instancias/control/n_29-i_1.in
87,control,BT-O-G,22988.1,instancias/control/n_29-i_1.in
88,control,BT-O-C,3172.03,instancias/control/n_29-i_1.in
89,control,DP,0.542443,instancias/control/n_29-i_1.in
90,control,FB,0.08326,instancias/control/n_11-i_0.in
91,control,BT,0.031028,instancias/control/n_11-i_0.in
92,control,BT-F,0.006775,instancias/control/n_11-i_0.in
93,control,BT-O-G,0.162915,instancias/control/n_11-i_0.in
94,control,BT-O-C,0.034249,instancias/control/n_11-i_0.in
95,control,DP,0.056525,instancias/control/n_11-i_0.in
96,control,FB,1968.46,instancias/control/n_26-i_2.in
97,control,BT,3.31433,instancias/control/n_26-i_2.in
98,control,BT-F,5.81862,instancias/control/n_26-i_2.in
99,control,BT-O-G,2291.07,instancias/control/n_26-i_2.in
100,control,BT-O-C,317.778,instancias/control/n_26-i_2.in
101,control,DP,0.392411,instancias/control/n_26-i_2.in
102,control,FB,247.226,instancias/control/n_23-i_2.in
103,control,BT,0.708177,instancias/control/n_23-i_2.in
104,control,BT-F,0.520876,instancias/control/n_23-i_2.in
105,control,BT-O-G,14.5908,instancias/control/n_23-i_2.in
106,control,BT-O-C,66.1529,instancias/control/n_23-i_2.in
107,control,DP,0.088884,instancias/control/n_23-i_2.in
108,control,FB,0.016432,instancias/control/n_8-i_1.in
109,control,BT,0.012307,instancias/control/n_8-i_1.in
110,control,BT-F,0.002576,instancias/control/n_8-i_1.in
111,control,BT-O-G,0.022905,instancias/control/n_8-i_1.in
112,control,BT-O-C,0.005741,instancias/control/n_8-i_1.in
113,control,DP,0.022151,instancias/control/n_8-i_1.in
114,control,FB,31411.4,instancias/control/n_30-i_2.in
115,control,BT,30.487,instancias/control/n_30-i_2.in
116,control,BT-F,41.4086,instancias/control/n_30-i_2.in
117,control,BT-O-G,52779.2,instancias/control/n_30-i_2.in
118,control,BT-O-C,7362.44,instancias/control/n_30-i_2.in
119,control,DP,0.461731,instancias/control/n_30-i_2.in
120,control,FB,3918.35,instancias/control/n_27-i_1.in
121,control,BT,15.2047,instancias/control/n_27-i_1.in
122,control,BT-F,10.2205,instancias/control/n_27-i_1.in
123,control,BT-O-G,7766.88,instancias/control/n_27-i_1.in
124,control,BT-O-C,1103.8,instancias/control/n_27-i_1.in
125,control,DP,0.461146,instancias/control/n_27-i_1.in
126,control,FB,32.5948,instancias/control/n_20-i_1.in
127,control,BT,0.787795,instancias/control/n_20-i_1.in
128,control,BT-F,0.398635,instancias/control/n_20-i_1.in
129,control,BT-O-G,63.2708,instancias/control/n_20-i_1.in
130,control,BT-O-C,8.26956,instancias/control/n_20-i_1.in
131,control,DP,0.204763,instancias/control/n_20-i_1.in
132,control,FB,0.014719,instancias/control/n_8-i_2.in
133,control,BT,0.012159,instancias/control/n_8-i_2.in
134,control,BT-F,0.003373,instancias/control/n_8-i_2.in
135,control,BT-O-G,0.029931,instancias/control/n_8-i_2.in
136,control,BT-O-C,0.005859,instancias/control/n_8-i_2.in
137,control,DP,0.030931,instancias/control/n_8-i_2.in
138,control,FB,0.397706,instancias/control/n_13-i_1.in
139,control,BT,0.071206,instancias/control/n_13-i_1.in
140,control,BT-F,0.016589,instancias/control/n_13-i_1.in
141,control,BT-O-G,0.573324,instancias/control/n_13-i_1.in
142,control,BT-O-C,0.096523,instancias/control/n_13-i_1.in
143,control,DP,0.103047,instancias/control/n_13-i_1.in
144,control,FB,0.962055,instancias/control/n_14-i_1.in
145,control,BT,0.128394,instancias/control/n_14-i_1.in
146,control,BT-F,0.024316,instancias/control/n_14-i_1.in
147,control,BT-O-G,1.47831,instancias/control/n_14-i_1.in
148,control,BT-O-C,0.227233,instancias/control/n_14-i_1.in
149,control,DP,0.106702,instancias/control/n_14-i_1.in
150,control,FB,31556.4,instancias/control/n_30-i_1.in
151,control,BT,20.7678,instancias/control/n_30-i_1.in
152,control,BT-F,41.1652,instancias/control/n_30-i_1.in
153,control,BT-O-G,46309.4,instancias/control/n_30-i_1.in
154,control,BT-O-C,6037.17,instancias/control/n_30-i_1.in
155,control,DP,0.643642,instancias/control/n_30-i_1.in
156,control,FB,1.18412,instancias/control/n_15-i_0.in
157,control,BT,0.109823,instancias/control/n_15-i_0.in
158,control,BT-F,0.031071,instancias/control/n_15-i_0.in
159,control,BT-O-G,2.19504,instancias/control/n_15-i_0.in
160,control,BT-O-C,0.308193,instancias/control/n_15-i_0.in
161,control,DP,0.138504,instancias/control/n_15-i_0.in
162,control,FB,251.248,instancias/control/n_23-i_1.in
163,control,BT,1.15392,instancias/control/n_23-i_1.in
