,dataset,algorithm,time_ms,instance
0,control,FB,21.17,instancias/control/n_19-i_1.in
1,control,BT,0.639613,instancias/control/n_19-i_1.in
2,control,BT-F,0.214931,instancias/control/n_19-i_1.in
3,control,BT-O-G,35.0914,instancias/control/n_19-i_1.in
4,control,BT-O-C,4.7961,instancias/control/n_19-i_1.in
5,control,DP,0.19565,instancias/control/n_19-i_1.in
6,control,FB,0.003189,instancias/control/n_5-i_1.in
7,control,BT,0.004232,instancias/control/n_5-i_1.in
8,control,BT-F,0.001952,instancias/control/n_5-i_1.in
9,control,BT-O-G,0.005342,instancias/control/n_5-i_1.in
10,control,BT-O-C,0.002557,instancias/control/n_5-i_1.in
11,control,DP,0.005053,instancias/control/n_5-i_1.in
12,control,FB,0.008261,instancias/control/n_7-i_1.in
13,control,BT,0.007522,instancias/control/n_7-i_1.in
14,control,BT-F,0.002118,instancias/control/n_7-i_1.in
15,control,BT-O-G,0.01159,instancias/control/n_7-i_1.in
16,control,BT-O-C,0.003729,instancias/control/n_7-i_1.in
17,control,DP,0.014068,instancias/control/n_7-i_1.in
18,control,FB,34.6012,instancias/control/n_20-i_0.in
19,control,BT,1.17383,instancias/control/n_20-i_0.in
20,control,BT-F,0.314833,instancias/control/n_20-i_0.in
21,control,BT-O-G,73.1626,instancias/control/n_20-i_0.in
22,control,BT-O-C,9.9049,instancias/control/n_20-i_0.in
23,control,DP,0.223915,instancias/control/n_20-i_0.in
24,control,FB,0.045544,instancias/control/n_10-i_1.in
25,control,BT,0.018133,instancias/control/n_10-i_1.in
26,control,BT-F,0.014161,instancias/control/n_10-i_1.in
27,control,BT-O-G,0.045661,instancias/control/n_10-i_1.in
28,control,BT-O-C,0.011616,instancias/control/n_10-i_1.in
29,control,DP,0.057703,instancias/control/n_10-i_1.in
30,control,FB,126.985,instancias/control/n_22-i_1.in
31,control,BT,1.09161,instancias/control/n_22-i_1.in
32,control,BT-F,0.825269,instancias/control/n_22-i_1.in
33,control,BT-O-G,204.615,instancias/control/n_22-i_1.in
34,control,BT-O-C,27.9789,instancias/control/n_22-i_1.in
35,control,DP,0.279312,instancias/control/n_22-i_1.in
36,control,FB,0.575928,instancias/control/n_14-i_2.in
37,control,BT,0.077043,instancias/control/n_14-i_2.in
38,control,BT-F,0.019206,instancias/control/n_14-i_2.in
39,control,BT-O-G,1.01359,instancias/control/n_14-i_2.in
40,control,BT-O-C,0.137661,instancias/control/n_14-i_2.in
41,control,DP,0.10915,instancias/control/n_14-i_2.in
42,control,FB,0.013921,instancias/control/n_8-i_0.in
43,control,BT,0.009515,instancias/control/n_8-i_0.in
44,control,BT-F,0.002577,instancias/control/n_8-i_0.in
45,control,BT-O-G,0.020635,instancias/control/n_8-i_0.in
46,control,BT-O-C,0.005096,instancias/control/n_8-i_0.in
47,control,DP,0.015256,instancias/control/n_8-i_0.in
48,control,FB,0.024163,instancias/control/n_9-i_2.in
49,control,BT,0.014324,instancias/control/n_9-i_2.in
50,control,BT-F,0.003731,instancias/control/n_9-i_2.in
51,control,BT-O-G,0.035599,instancias/control/n_9-i_2.in
52,control,BT-O-C,0.006956,instancias/control/n_9-i_2.in
53,control,DP,0.026945,instancias/control/n_9-i_2.in
54,control,FB,1.28776,instancias/control/n_15-i_1.in
55,control,BT,0.128434,instancias/control/n_15-i_1.in
56,control,BT-F,0.036583,instancias/control/n_15-i_1.in
57,control,BT-O-G,2.60425,instancias/control/n_15-i_1.in
58,control,BT-O-C,0.411886,instancias/control/n_15-i_1.in
59,control,DP,0.170623,instancias/control/n_15-i_1.in
60,control,FB,8.91391,instancias/control/n_18-i_0.in
61,control,BT,0.634025,instancias/control/n_18-i_0.in
